employee_id,first_name,last_name,gender,birth_date,hire_date,termination_date,status,hotel_code,hotel_name,city,country,department_code,department_name,contract_type,hierarchy_level,age,invalid_birth_date_flag,inactive_without_termination_flag
EMP00001,Laura,Garcia Diaz,Female,2004-08-12,2022-09-30,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HR,Human Resources,Temporary,Staff,21,False,False
EMP00002,Lucia,Fernandez Garcia,Female,1983-08-14,2026-04-17,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Seasonal,Staff,42,False,False
EMP00003,Sofia,Garcia Perez,Female,2002-12-20,2024-09-27,2025-11-20,Voluntary Termination,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HR,Human Resources,Temporary,Supervisor,23,False,False
EMP00004,Laura,Morales Morales,Female,1982-05-01,2022-12-19,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FD,Front Desk,Permanent,Staff,44,False,False
EMP00005,Paula,Morales Gonzalez,Female,1986-02-11,2020-10-11,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FB,Food & Beverage,Permanent,Staff,40,False,False
EMP00006,Valentina,Morales Perez,Female,1985-07-20,2024-02-25,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FD,Front Desk,Permanent,Manager,40,False,False
EMP00007,Maria,Vargas Castro,Female,1977-05-25,2023-01-10,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Seasonal,Staff,49,False,False
EMP00008,Laura,Gonzalez Ramirez,Female,2001-03-31,2022-05-20,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Temporary,Staff,25,False,False
EMP00009,Sofia,Romero Castro,Female,1982-05-17,2024-01-22,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Seasonal,Staff,44,False,False
EMP00010,Maria,Romero Martinez,Female,1967-09-01,2024-04-25,,Long Leave,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FD,Front Desk,Permanent,Supervisor,58,False,True
EMP00011,Carlos,Diaz Ramirez,Male,1973-01-27,2021-04-01,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HR,Human Resources,Seasonal,Staff,53,False,False
EMP00012,Camila,Lopez Torres,Female,1997-09-12,2025-09-10,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Permanent,Staff,28,False,False
EMP00013,Valentina,Garcia Lopez,Female,1997-05-01,2024-01-26,2025-07-07,Voluntary Termination,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,SW,Spa & Wellness,Permanent,Staff,29,False,False
EMP00014,Carlos,Sanchez Sanchez,Male,2006-02-22,2025-04-30,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Internship,Staff,20,False,False
EMP00015,Lucia,Torres Castro,Female,1983-02-15,2024-03-09,2024-04-30,Voluntary Termination,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,SW,Spa & Wellness,Temporary,Staff,43,False,False
EMP00016,Paula,Fernandez Fernandez,Female,1999-12-24,2020-01-30,2022-10-30,Voluntary Termination,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Seasonal,Staff,26,False,False
EMP00017,Sofia,Herrera Gonzalez,Female,1972-10-11,2026-01-17,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FB,Food & Beverage,Temporary,Staff,53,False,False
EMP00018,Isabel,Gonzalez Lopez,Female,1984-05-14,2021-02-01,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Temporary,Staff,42,False,False
EMP00019,Carlos,Rodriguez Castro,Male,2006-10-24,2023-10-21,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FD,Front Desk,Permanent,Staff,19,False,False
EMP00020,Valentina,Fernandez Martinez,Female,2000-02-10,2024-12-20,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Permanent,Staff,26,False,False
EMP00021,Jose,Castro Rodriguez,Male,1999-10-22,2021-11-05,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Permanent,Staff,26,False,False
EMP00022,Camila,Herrera Sanchez,Female,1970-09-06,2022-02-16,2023-12-18,Voluntary Termination,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FB,Food & Beverage,Permanent,Staff,55,False,False
EMP00023,Juan,Rodriguez Herrera,Male,2000-03-07,2025-08-21,2025-10-25,Involuntary Termination,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,SW,Spa & Wellness,Permanent,Staff,26,False,False
EMP00024,Jose,Castro Lopez,Male,1991-04-30,2026-05-22,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FB,Food & Beverage,Permanent,Supervisor,35,False,False
EMP00025,Fernando,Ramirez Diaz,Male,1996-07-02,2022-04-16,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,SM,Sales & Marketing,Permanent,Staff,29,False,False
EMP00026,Laura,Garcia Vargas,Female,1999-01-26,2026-04-25,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Permanent,Staff,27,False,False
EMP00027,Maria,Morales Martinez,Female,1963-09-06,2022-09-27,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,SC,Security,Permanent,Staff,62,False,False
EMP00028,Camila,Garcia Torres,Female,2005-08-31,2021-02-28,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FD,Front Desk,Permanent,Staff,20,False,False
EMP00029,Jose,Ramirez Gonzalez,Male,1978-11-06,2022-12-17,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FD,Front Desk,Permanent,Staff,47,False,False
EMP00030,Carmen,Sanchez Diaz,Female,1992-04-14,2021-10-23,2025-10-08,Involuntary Termination,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Permanent,Staff,34,False,False
EMP00031,Miguel,Rodriguez Morales,Male,1987-12-07,2026-03-13,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Temporary,Staff,38,False,False
EMP00032,Juan,Morales Gonzalez,Male,1995-03-23,2022-10-19,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FD,Front Desk,Permanent,Staff,31,False,False
EMP00033,Maria,Perez Romero,Female,2006-03-21,2020-04-11,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Permanent,Staff,20,False,False
EMP00034,Ana,Herrera Fernandez,Female,1986-05-29,2022-03-28,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Permanent,Supervisor,40,False,False
EMP00035,Sofia,Martinez Diaz,Female,2002-01-28,2023-12-09,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HR,Human Resources,Permanent,Staff,24,False,False
EMP00036,Luis,Rodriguez Lopez,Male,1971-04-12,2024-11-14,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,SM,Sales & Marketing,Permanent,Staff,55,False,False
EMP00037,Luis,Rodriguez Romero,Male,1978-12-23,2020-01-07,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FD,Front Desk,Permanent,Supervisor,47,False,False
EMP00038,Carlos,Torres Torres,Male,1986-03-04,2024-07-30,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,MT,Maintenance,Permanent,Staff,40,False,False
EMP00039,Miguel,Torres Castro,Male,2007-08-19,2026-02-22,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,SM,Sales & Marketing,Temporary,Staff,18,False,False
EMP00040,Paula,Ramirez Vargas,Female,2001-03-16,2024-12-14,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FN,Finance,Permanent,Director Hotel,25,False,False
EMP00041,Andres,Ramirez Martinez,Male,1987-05-18,2022-08-20,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Permanent,Staff,39,False,False
EMP00042,Carlos,Vargas Romero,Male,1992-07-10,2022-03-07,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HK,Housekeeping,Temporary,Supervisor,33,False,False
EMP00043,Carlos,Romero Fernandez,Male,1982-04-09,2021-12-21,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,MT,Maintenance,Temporary,Staff,44,False,False
EMP00044,Camila,Ramirez Vargas,Female,1964-10-10,2025-08-29,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FB,Food & Beverage,Permanent,Supervisor,61,False,False
EMP00045,Sofia,Herrera Fernandez,Female,1998-12-21,2023-01-29,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FN,Finance,Permanent,Staff,27,False,False
EMP00046,Miguel,Sanchez Fernandez,Male,1996-12-23,2024-04-17,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FD,Front Desk,Permanent,Staff,29,False,False
EMP00047,Lucia,Romero Castro,Female,1967-11-24,2020-03-21,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,MT,Maintenance,Permanent,Staff,58,False,False
EMP00048,Fernando,Fernandez Herrera,Male,1993-12-20,2022-06-17,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FB,Food & Beverage,Permanent,Staff,32,False,False
EMP00049,Miguel,Vargas Sanchez,Male,1994-05-28,2025-12-27,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,HR,Human Resources,Seasonal,Staff,32,False,False
EMP00050,Carlos,Romero Sanchez,Male,1974-02-22,2025-03-06,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FB,Food & Beverage,Permanent,Staff,52,False,False
EMP00051,Fernando,Diaz Romero,Male,1969-12-13,2022-10-30,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FD,Front Desk,Permanent,Staff,56,False,False
EMP00052,Ana,Garcia Fernandez,Female,1987-10-12,2022-03-27,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FD,Front Desk,Seasonal,Staff,38,False,False
EMP00053,Jose,Vargas Diaz,Male,1979-03-19,2024-02-19,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FB,Food & Beverage,Permanent,Staff,47,False,False
EMP00054,Juan,Torres Castro,Male,1980-06-19,2024-06-12,,Active,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,FN,Finance,Permanent,Staff,45,False,False
EMP00055,Andres,Lopez Rodriguez,Male,1994-12-18,2023-11-23,2025-02-25,Voluntary Termination,HES001,GlobalStay Palma Resort,Palma de Mallorca,Spain,SC,Security,Temporary,Staff,31,False,False
